Signs_id,Signs_description
176,"vitamin d-resistant rickets
skin lesions
epidermal nevi associated with additional extra-cutaneous abnormalities
epidermal nevi
neurological abnormalities
seizures
cognitive impairment
developmental delays
hemiparesis
skeletal abnormalities
abnormal curvature of the spine
malformation of the hip
abnormalities of the arms and legs
underdevelopment or absence or overgrowth of limbs
ocular abnormalities
cataracts
clouding (opacity) of the cornea
colobomas
endocrine abnormalities
epidermal
extra-cutaneous malformations
"
177,"blistering disorder
herpes simplex virus
bullous impetigo

"
178,"skin infections
red, blistering and denuded skin
skin thickening
blistering
scaling
scales
generalized erythroderma
palmoplantar keratoderma
limit ambulation and hand function
brown-grey hyperkeratotic spines
heat intolerance"
179,"eye disorder
influenza
visual disorder
impairment of central vision in one eye
"
180,"hereditary disorder of the skin and nervous system
neurocutaneous syndrome
ataxia
progressive neurologic syndrome
hard, red plaques during infancy and childhood
skin lesions
ichthyosis
plaques on the skin of the extremities
ataxia
dysarthria
nystagmus
decreased tendon reflexes .
soon after birth skin lesions
neurological abnormalities adulthood
"
181,"genetic disorder

"
182,"bone tumor
aggressive cancer

"
183,"pan-ethnic disorder

"
184,"bleeding disorder

"
185,"inherited cancer predisposition syndrome
cancer of the colon and/or rectum
polyposis conditions
colorectal cancer
hundreds to thousands of precancerous colorectal polyps
100 or more adenomatous colorectal polyps
fewer than 100 polyps and a relative with fap
polyps
"
186,"genetic degenerative
neurodegenerative disorder
dementia
alzheimer 's disease
poor attention concentration
declining work or academic performance
language difficulties
severe memory deficits
irregular muscle contractions
seizures
changes in mood
apathy
depression
anger
"
187,"inherited disorders
hypophosphatemia
chronic hypophosphatemia
rickets
bone disease
osteomalacia
impaired kidney conservation of phosphate
altered vitamin d metabolism
bow deformities of the legs
growth plate abnormalities
progressive softening of the bone
growth rates may be impaired
short stature
"
188,"genetic disorders
parathyroid hormone deficiency
parathyroid glands that do not produce or secrete enough parathyroid hormone
hypocalcemia
high levels of phosphorous
"
189,"infectious disorder
chronic liver disease
liver fluke disease
fever
tender liver
gastrointestinal disturbances
urticaria
bouts of bronchial asthma
fatty food intolerance
jaundice
itching
abdominal tenderness
lesions
abdominal pain
gastrointestinal pain
nausea"
190,"
underdeveloped femurs
unusual facial features
"
191,"hereditary iron overload
classic (type 1) hemochromatosis

"
192,"inherited connective tissue disorder
heterotopic ossification
ankylosis
skeletal muscles to a a transformation into bone
locking joints
movement difficult or impossible
malformed big toes congenital
skeletal malformations of the cervical spine ribs
development of bone at multiple soft tissue
stiffness in affected areas
limited movement of affected joints
"
193,"
stenosis
aneurysms
dissection
narrowing
tears of arteries
multiple aneurysms
dissections in arteries
"
194,"genetic disorder
microcephaly
unusual facial appearance
abnormalities of the fingers and toes
mild to severe mental retardation
growth delays
syndactyly
clinodactyly
"
195,"kidney failure
damage to the kidneys
glomeruli sclerosis
scarring or damage to the glomeruli
progressive kidney damage
"
196,"cancer
cancers

"
197,"
eye, nose, and throat irritation
skin rashes
eye irritation
breathing problems
skin irritations
burns to the esophagus stomach
acute hemolysis
hypotension
abnormalities of heart rhythm
irregular breathing
unconsciousness
coma
headaches
restlessness"
198,"genetic multisystem disorder
intellectual disability
inherited disorder
swelling of the cheeks lips
face edema
skeletal abnormalities
deafness
malformation of a cochlea
"
199,"skin disorder
intense itching
abnormalities affecting the apocrine sweat glands
inflammation and of the glands
skin darkened dry
papules
hair loss
papular eruptions on apocrine gland areas
"
200,"strabismus
mitral valve prolapse
moderate intellectual disability in affected males
mild intellectual disability in affected females
large head
long face
prominent forehead chin
protruding ears
loose joints
large testes
motor delays
behavioral abnormalities
autistic behaviors
flat feet,
frequent ear infections
low muscle tone
long narrow face
high arched palate
dental problems
heart problems
delayed motor development
hyperactivity
behavior problems
toe walking
occasional seizures
poor eye contact
hand flapping
self-stimulating behaviors
"
201,"genetic disorder
partial syndactyly
cryptorchidism
hypospadias
renal abnormalities
genital malformations
cryptophthalmos
malformation of the eyes
blindness
renal malformations
unilateral or bilateral renal agenesis
micropenis
malformed fallopian tubes
clitoromegaly
bicornate uterus
labia fused
malformations of the middle and outer ear
hearing impairment
"
202,"inherited disorder
strabismus
restricted movement around two or more body areas
abnormalities of the head and face (craniofacial) area
defects of the hands and feet
skeletal malformations
craniofacial abnormalities
characteristic facial features
microstomia
"""" """" full """" """" forehead appearance
prominent cheeks
thin, pursed lips
flat middle portion of the face
high roof of the mouth
micrognathia
microglossia
raised, scar-like mark in the shape of an """" """" h """" """" or a """" """" v """" """" extending from the lower lip to the chin
abnormalities affecting the eyes
widely-spaced deep-set eyes
palpebral fissures
malformations of the hands feet
speech impairment
swallowing difficulties
vomiting
failure to thrive
respiratory problems
"
203,"
excessive sweating
"
204,"common inherited ataxia

"
205,"dementia
alzheimer ’s disease

"
206,"neuromuscular disorders
high levels of a creatine kinase
blood fukutin gene mutations
muscle damaged
"
207,"autosomal recessive genetic condition
deficiency of an enzyme galactose-1-phosphate uridylyl transferase
profound intellectual disability
liver failure
death in the newborn period
"
208,"arthritis
inflamed lesions in the mucous lining of the stomach
inflammation of the stomach
multiple lesions in the mucous lining
vomiting
bleeding of the stomach
anemia
ulcer-like symptoms
burning
heavy feeling in the pit of the stomach
mild nausea
loss of appetite
weakness"
209,"
inflammation of the stomach
hypertrophic gastric folds
"
210,"cancers
soft tissue sarcomas
intestinal obstruction
tumors from the intestinal tract
tumors to peritoneum or omentum
tumors arising in the appendix and/or pancreas
tumors
bleeding
malignant (cancerous) tumor from smooth muscle cells
abdominal pain"
211,"enteric autoimmune disease
gerd
peptic ulcer
scoliosis
dumping syndrome
gastritis
gastric ulcers
pyloric stenosis
celiac disease
gi obstructions

persistent digestive symptoms
nausea"
212,"hiccups
sudden, involuntary jerking of a muscle or group of muscles
twitching or jerking of muscles
myoclonic jerks
"
213,"glossitis
tongue are missing these bumps
smooth, red or pink colored, degenerated (atrophic) patches
tongue lesions
asymptomatic"
214,"neurological disorder
developmental disorder
constructional apraxia
loss or absence of four cognitive
loss of the ability to in to to one 's 's and to distinguish between the right and left sides of one 's body .
cognitive defects
four neurological symptoms
difficulty in math and writing
problems in spelling performing the basic four mathematical calculations distinguishing left from right
fail the finger identification test
"
215,"skin disease
viral infection
viral disease
coxsackievirus
hepatitis-b
infectious mononucleosis
cytomegalovirus
hepatitis-b virus
hepatitis
blisters on the skin of the legs buttocks arms
blisters on the skin
blisters
upper respiratory tract infection
enlargement of the lymph nodes in the trunk area
pruritus
skin lesions
lymphadenopathy
enlargement of the liver
"
216,"blood vessel disorder
inflammatory disorder
inflammation of the aorta
blindness
scalp tenderness
double vision
visual disturbances
bulging temporal
tender with skin edema
redness
fevers
anorexia
weight loss
arm pain
pulsing headaches on one side or on the back of the head
jaw pain,
polymyalgia"
217,"cardiovascular disorder
myocarditis
inflammation
widespread infiltration of giant cells
heart muscle cell destruction
abnormal heartbeats
heart failure
heart abnormalities
chest pain"
218,"hyperbilirubinemia
mildly elevated bilirubin levels
elevated bilirubin
"
219,"cancers
stroke
brain abscesses
brain bleeds
cavernous malformations

"
220,"inherited metabolic disorder
small intestine 's inability to transport and absorb glucose and galactose
watery diarrhea
"
221,"hereditary metabolic disorder
cerebral organic acidemias
macrocephaly
dystonic movement disorder
deficiency of the mitochondrial enzyme glutaryl-coa dehydrogenase
deficiency or absence of gcdh enzyme
gcdh deficiency
increased concentrations of potentially neurotoxic metabolites glutaric acid 3-hydroxy glutaric acid glutaconic acid
hypotonia
acute encephalopathic crisis
febrile illness episodes
catabolic conditions
bilateral striatal injury
subdural hemorrhages
inborn error of metabolism
"
222,"autoimmune disorder
autoimmune syndromes
upper respiratory tract infection
glomerulonephritis
pulmonary hemorrhaging
hemoptysis
dyspnea
anemia
acute renal failure
anti-glomerular basement membranes antibodies in the body
hematuria
proteinuria
fatigue
chest pain"
223,"mild, nonprogressive, congenital skin atrophy
fragile, thin skin on the hands and feet (distal extremities)
subcutaneous atrophy
small hands feet
prominent veins on the chest
small stature
micrognathia
skin thin, taut, and parchment-like on the hands and feet
hands and small
veins on the chest are very visible and prominent
diminished fat subcutaneous fat
"
224,"
skin rash
intestinal problems
liver dysfunction
"
225,"chronic degenerative skin disorder
nodules
papules
lesions one to five centimeters
lesions
eruptions
"
226,"genetic disorder
periodontosis
arachnodactyly
acroosteolysis
palmoplantar hyperkeratosis
frequent pyogenic skin infections
onychogryposis
premature loss of teeth
pes planus
"
227,"microphthalmia
autosomal recessive disorders
congenital cataracts
"
228,"developmental disorder

"
229,"genetic skin disorder
plates of thick skin that crack and split apart
thick plates
distort facial features
restrict breathing eating
"
230,"encephalopathy
immune-mediated disorder
inflammation
antithyroid antibodies in their body
"
231,"brain disorder
liver disease
acute or chronic liver (hepatic) disease
encephalopathy
progressive dysfunction of the brain
personality changes
intellectual impairment
impaired memory
coma
"
232,"liver disease
abnormalities of the pulmonary vasculature
vasodilatation
hypoxemia
vasoconstriction of blood vessels
pulmonary arterial
"
233,"varicose veins
venous blood clots
lymphocele
edema
fibrosis
"
234,"autosomal dominant genetic condition
dominant genetic disorders

"
235,"genetic disorder
blood (hematologic) disorder
megaloblastic anemia
failure to thrive
infection
crystalluria
orotic acid in the urine
impaired neurological development
"
236,"herpes simplex virus
hsv
genital herpes
herpes simplex
type 1 hsv
type 2 hsv
neonate fever seizure
"
237,"genetic metabolic disorder
hypoglycemia
deficiency of the enzyme, liver phosphorylase
accumulation of glycogen in the body
hepatomegaly
ketosis
moderate growth retardation
liver phosphorylase enzyme liver activity enzyme enzyme activity will be reduced
"
238,"
tumors in the lymph nodes and/or the area around the nodes
fever
night sweats
weight loss
"
239,"genetic disorder

"
240,"infectious disease

"
241,"genetic, progressive, neurodegenerative disorder
dementia
chorea
gradual development of involuntary muscle movements affecting the hands
neurologic movement abnormalities
athetosis
slow, writhing involuntary movements
personality disintegration
impairment of memory control
restlessness
agitation
pneumonia
infections
injuries
progressive disorientation
confusion"
242,"fatal, genetic condition of childhood
generalized atherosclerosis
cardiovascular disease
arteriosclerosis
heart disease
atherosclerosis
at nine to 24 months of age to profound growth delays
short stature
low weight
distinctive facial appearance
disproportionately small face
micrognathia
malformation and crowding of the teeth
prominent eyes
small nose
subtle blueness around the mouth
scalp hair may be replaced by small, downy, white or blond hairs
stroke
hip dislocations
prominent veins of the scalp
loss of of subcutaneous adipose tissue
defects of the nails
joint stiffness
skeletal defects
high blood pressure
strokes
enlarged heart
heart failure
angina"
243,"central nervous system disorder
mental retardation
enlarged head
neurological deficits
hydrocephalus
absence of portions of the brain
head enlarged at birth
vision impairment
lack of growth
intellectual deficits
fail to grow at a normal rate
poor feeding
seizures
spasticity
rigidity of arms legs
hyperreflexia
hypertonia
poor body temperature regulation
irritability"
244,"genetic disorder

"
245,"mild mental retardation
inherited inborn error of metabolism involving proline
high level of the amino acid proline
fevers
seizures
elevated blood proline
elevated p-5-c levels in the urine
"
246,"genetic disorder
macrocephaly
mild mental retardation
brachydactyly
small stature
short-limbed dwarfism
short stature
bowing of the legs
prominent forehead
physical abnormalities
genu varum
"
247,"congenital heart defects

"
248,"inherited disorder
ichthyosis
- like skin abnormalities
limb defects on one side of the body
abnormalities
"
249,"inherited skin disorder
hyperkeratosis
inherited disorder
short-lasting red patches the skin of the palms and soles
skin lesions
red patches
burning sensation
"
250,"genetic skin disorder
x-linked recessive disorders
x-linked disorders
x-linked disorder
inborn error of metabolism
deficiency of the enzyme steroid sulfatase
steroid metabolism is interrupted
cholesterol sulfate accumulates in the skin cells
the skin cells stick together
scales
"
251,"genetic skin diseases
dry, thickened, scaling skin .
scaling
erythroderma
"
252,"hypertension
increased pressure inside the skull
pressure of csf is too high
elevated csf pressure
visual loss
permanent visual loss
blindness
severe headache"
253,"cholestatic diseases

"
254,"birth defects
malformation
absence or abnormal localization of the anus
colon may be connected to the vagina or the bladder by a tunnel
absence of the normal opening of the anus
elimination of feces may not be possible
rectum opens into the lower part of the vagina in females close to the scrotum in males
anorectal malformations
"
255,"fibrous tumor

"
256,"hypercalcemia
bulbous metaphyses
hypercalciuria
"
257,"genetic disorder
constipation
classic  genetic diseases
recessive disorders
recessive disorder
partial absence of the fold of the stomach membrane that connects the small intestine to the back wall of the abdomen
the jejunal twists around the the the marginal
atresia
vomiting
swollen abdomen
"
258,"autosomal recessive genetic disorder
molar tooth sign
cerebellar vermis of the brain is absent or underdeveloped
brain stem is abnormal
ataxia
hyperpnea
sleep apnea
abnormal tongue movements
low muscle tone
"
259,"x-linked genetic disorder
severe mental retardation
delays in reaching developmental milestones
muscle weakness
hypotonia
delayed bone growth
growth retardation
short stature
craniofacial abnormalities
low birth weight
genital malformations
hearing impairment
deafness
abnormalities in motor coordination speech intellect
"
260,"neuronal ceroid lipofuscinoses
neurodegenerative

"
261,"genetic disorder
hypotrophic hypogonadism
heart disease
cirrhosis
joint disease
diabetes
classic hereditary hemochromatosis
accumulation of iron
hyperpigmentation
"
262,"childhood brain tumor
brain tumor
pressure on the brain
vomiting
balance problems
vision abnormalities
cerebellar tumor
tumors of the central nervous system
headaches
nausea"
263,"syndromic developmental delay

"
264,"acquired heart disease
high fever
inflammation of the mucous membranes of the mouth and throat
reddish skin rash
lymphadenopathy
coronary arteritis
aneurysms of of affected coronary arteries
myocarditis
"
265,"intellectual disability

"
266,"epilepsy

"
267,"hereditary skeletal disorder
hypoparathyroidism
autosomal dominant genetic disorder
skeletal disorder
thickening of the long bones
medullary stenosis
abnormalities affecting the head eyes
short stature
hypocalcemia
thickening of the outer layers of long bones
thin marrow cavities
"
268,"genetic, multi-system disorder
sensorineural deafness
skin disorders
keratitis
erythrokeratoderma
severe hearing impairment
dry, scaly skin
"
269,"inherited, skin disorder
keratosis
conjunctivitis
pink eye
thickening of the skin
loss of eyebrows eyelashes beard
alopecia
photophobia
blepharitis
corneal dystrophy
loss of vision
blurred vision
poor fingernail formation
"
270,"neurological disorder
hyperbilirubinemia
during infancy
poor feeding habits
fever
vomiting
absence of certain reflexes moro reflex
mild to severe muscle spasms
opisthotonus
spasticity
jaundice
abnormal cry
loss of moro reflex
jaundice within the first few days of life
lethargy"
271,"
hypersomnolence
compulsive hyperphagia
behavioral changes
uninhibited sexual drive
irritability
apathy
lethargy"
272,"inherited disorder
hypogonadism
delayed puberty
primary testicular failure
androgen deficiency
failure to experience puberty
complete or partial loss of the sense of smell
failure to go through puberty
hormonal imbalance
failure of a of hypothalamus
anosmia
impaired production of hormones growth
infertility
"
273,"autosomal recessive disorders

"
274,"inherited neuromuscular disorder
weakness in the muscles of the arms legs
walking difficulties
loss of ambulation
fall frequently
trouble walking up and down stairs at 2-3 years of age
wasting"
275,"
spastic paraplegia
developmental delay / intellectual disability
"
276,"genetic disorder
gingival fibromatosis
mental retardation
abnormalities of the head and facial (craniofacial) area and the hands feet
overgrown gums abnormally long, thin fingers toes
dysplastic nails at birth
malformation or absence of the nails is when the primary teeth appear
"
277,"cancer
weakness
affect the patient ’s ability to engage in strenuous exercise
climbing stairs a difficult
constipation
impotence
decreased sweating
weight loss
tendon reflexes are diminished or absent
proximal muscle weakness
reduced tendon reflexes
fatigue
autonomic symptoms
dry mouth
dry eyes"
278,"
language regression
severely epileptiform activity on eeg during non-rem sleep
"
279,"pulmonary disease
diabetes insipidus

"
280,"
malignant tumor
"
281,"infectious diseases
inflammatory conditions
malignant neoplasms
skin conditions

"
282,"inherited disorder
unilateral or bilateral microphthalmos
blepharoptosis
mental retardation
microcephaly
visual impairment
anophthalmia
developmental delay
physical abnormalities
malformations of the teeth ears fingers toes
"
283,"infectious disease
high fever
chills
vomiting
diarrhea
jaundice
muscle aches
headache"
284,"inherited disorder
flattened facial features
abnormalities of the hands feet
skeletal malformations
short stature
limitation of joint movements
brachydactyly
hands a """" """" spade-shaped """" """" appearance
genu recurvitum
enlargement of the the of the posterior neural arches of the cervical vertebrae
thickened tissue on the palms forearms
enlargement of the the posterior neural arches of the cervical vertebrae
"
285,"inherited lipid storage disorder
metabolic disorder
mental retardation
pseudobulbar palsy
deficiency of the enzyme galactocerebrosidase
failure to break down these sphingolipids
demyelination
globoid cells appear in affected areas of the brain
progressive neurological dysfunction
paralysis
blindness
deafness
"
286,"progressive, metabolic, genetic diseases
peripheral neuropathy
abnormal development or destruction of the white matter (myelin sheath) of the brain
spasticity
motor difficulties
seizures
burning paresthesia
neuropathic pain"
287,"inherited (congenital), multi-system disorder
secretory diarrhea
low muscle tone
contractions
loss of hearing
neuronal deafness
bullous eruptions
gastrointestinal distress
myopathy
deafness
skin eruptions
recurrent, massive, watery stools
"
288,"chronic, inflammatory autoimmune skin and mucous membrane disease
itchy
shiny
reddish-purple spots (lesions) on the skin
white-gray lesions in the mouth on the lips
skin lesions flat-topped scaly
"
289,"chronic inflammatory skin disorder

"
290,"autosomal dominant disorder
arrhythmias
torsade de pointes
tdp
ventricular fibrillation
vf
cardiac arrest
abnormalities of the heart ’s electrical conduction system
prolongation of the qt interval
prolongation of the recovery phase or repolarization of the heart muscle
qt prolongation
syncope
sudden cardiac death
asymptomatic"
291,"cholestasis
cirrhosis
defects in bile acid synthesis or conjugation
abnormalities of contact between liver cells
abnormalities of cell organization
"
292,"lymphoproliferative disorder
lesions or nodules damage or destroy the blood vessels within these tissues
cough
dyspnea
chest tightness
"
293,"inherited metabolic diseases
abnormal build-up of various toxic materials
enzyme deficiencies
"
294,"inherited, ataxia
neurological disorder
slow degeneration of of brain hindbrain
crippled
paralyzed
"
295,"
skeletal lesions
enchondroma
"
296,"communicable parasitic disorder
chills
fever
"
297,"dominantly inherited disorder of skeletal muscle
myoglobinuria
fulminant mh event
fulminant mh episode
hypermetabolism
hypethermia
increased oxygen uptake
carbon dioxide production
hyperkalemia
acidosis
hyperlacactemia
skeletal muscle rigidity
muscle damage
increases in serum creatine kinase potassium calcium phosphate
rhabdomyolysis
myoglobinemia
"
298,"chronic alcoholism
chronic hiccups
gastritis
esophagitis
hiatus hernia
cancer
alcoholism
tear
severe bleeding from the gastrointestinal tract
lesion
gastrointestinal bleeding
"
299,"cancers

"
300,"genetic disorder
movement of one upper eyelid in a rapid rising motion each time the jaw moves
eye abnormalities
vision difficulties
"
301,"
quick physical growth
bone development
respiratory difficulties
mental retardation
breathing difficulties
"
302,"cataract
esotropia
hypertropia
retinal detachment
glaucoma
cataracts
flat sunken midface
saddle nose
nostrils that turn upward
hypertelorism
calvaria thicker
calcium deposits in the skull
nearsightedness
wide space between the eyes
eyeballs appear to be larger
hearing loss
distortion of the sound is a of the sensorineural
protruding upper incisors
smaller than normal or missing nasal bone
"
303,"inherited, blood platelet disorder
blood platelet disorder
giant platelets
defects of the leukocytes
defect of the white blood cells of the presence of, as dohle bodies, in the of the cell cytoplasm
bleeding
"
304,"precocious puberty

"
305,"inherited disorder
severe intellectual disability
intellectual disability
impaired ability to speak
hypotonia
movement abnormalities
"
306,"encephalocele
polydactyly
cystic kidneys
oligohydramnios

"
307,"eating disorder
psychiatric conditions
irritable bowel syndrome
abdominal migraine
vascular compression syndrome
anxiety
school and work absences
poor functional capacity
poor quality of life
compression of the celiac the celiac plexus nerves by the diaphragm
weight loss
vomiting
soft whooshing sound a over the upper abdomen
vascular blockage
palpitations
diarrhea
constipation
difficulty sleeping
chronic abdominal pain
pain
nausea
functional abdominal pain
abdominal pain
recurrent upper abdominal pain
chest pain"
308,"
malignant brain tumor
recurrent vomiting
difficulty walking with balance
headaches in the morning"
309,"recessive genetic disorders

"
310,"neurological movement disorder
blepharospasm

"
311,"skin cancer

"
312,"inherited skin disorder
palmoplantar hyperkeratosis
erythema
symmetrical cornification
abnormalities of the nails
hyperhidrosis with an unpleasant odor
lichenoid plaques
skin abnormalities congenital or during infancy
skin abnormalities on the palms of the hands
"
313,"facial palsy
swelling of the upper lip lower lip one or both cheeks eyelids
swelling
enlarged lips cracked discolored painful
fever
fissured tongue
salivary gland secretion may be reduced
sense of taste may be diminished
lip swelling
headache
visual disturbances"
314,"
sclerotic bone lesions
"
315,"
massive overgrowth of mucous cells (foveola) in the mucous membrane lining the stomach
large gastric folds
epigastric pain"
316,"
seizures
neurological deficits
"
317,"bacterial meningitis

"
318,"infectious disease
upper respiratory tract infection
fever
skin rash
lesions
eye problems
shock
"
319,"mental retardation
jaundice
seizures
stunted growth
failure to thrive
unstable body temperature
very unusual color and texture of hair
brittle, tangled, sparse, steely or kinky hair that is often white, ivory, or gray in color
unusual facial features
pudgy cheeks
abnormal eyebrows
born prematurely
hypothermia
hyperbilirubinemia
severe developmental delay
loss of early development skills
convulsions
brain abnormalities
subdural hematoma
rupture or thrombosis of arteries in the brain
spastic dementia
bones fractures
bone fractures
emphysema
bladder abnormalities
degeneration of the retina
cysts of the iris
decreased amount of ceruloplasmin in blood plasma
copper deficiency
"
320,"myopathy
dementia
optic atrophy
cardiomyopathy
peripheral neuropathy
mitochondrial myopathies
myoclonus
ataxia
seizures
short stature
abnormal muscle cells appear as ragged red fibers
"
321,"cancer

"
322,"genetic disorder
extremely small stature
short arms
narrow thorax
short ribs
kyphoscoliosis
short trunk dwarfism
"
323,"genetic autoinflammatory disorder
autoinflammatory syndromes
autoimmune disorders
random or unprovoked episodes of inflammation
"
324,"
dehydration
diarrhea
"
325,"leukemia
syphilis
lymphosarcoma
enlargement of glands in the head and neck
xerostomia
difficulty swallowing
tooth decay
enlarged glands lacrimal glands
leading to absent or decreased tears
enlarged glands parotid glands
tumefactions of the saliva glands salivary glands
glands submaxillary swollen
"
326,"cryoglobulinemia
hepatitis c

"
327,"endolymphatic hydrops
possible hearing loss
vertigo
tinnitus"
328,"facial palsy

"
329,"inherited disorder
alopecia
perifollicular hyperkeratosis
sparse, dry, and/or brittle hair
hair may lack luster
papules
hair shaft resembles a string of evenly-spaced beads
"
330,"chromosomal disorder

"
331,"progressive disorder cerebrovascular
stenosis of the carotid artery inside the skull
tiny blood vessels at the base of the brain open up
"""" """" moyamoya """" """" vessels
inadequate blood supply
reduced oxygen delivery to the brain
oxygen deprivation
stroke
paralysis of the face arms legs
loss of speech
transient ischemic attacks
tia
visual disturbances
developmental delay
seizures
artery changes
blood vessel narrowing
headaches"
332,"
recurrent rashes
intermittent fevers
recurrent conjunctivitis
progressive hearing loss
joint pain"
333,"metabolic disorder
intellectual disability
retinal degeneration
inherited metabolic disorder
iron deficiency anemia
psychomotor retardation
hypotonia
opacity of the of the cornea
high serum gastrin levels
characteristic findings on brain mri examinations
characteristic lysosomal storage bodies in fibroblasts
"
334,"fungal infection

"
335,"chronic autoimmune disorders
autoimmune blistering disorders
blistering lesions
scarring
progressive scarring
"
336,"
slowly progressive muscle weakness
inflammation
abnormal functioning of the immune system
presence of specific autoantibodies that target a specific protein in the body
muscles cramps
atrophy of muscles
"
337,"genetic disorder
multiple tumors arising from cells of specific neuroendocrine tissues
"
338,"genetic disorder
thyroid cancer
thyroid cancers
benign tumors affecting additional glands of the endocrine system
"
339,"cancer
bacterial infections
pneumonia
excessive plasma
tumor or bone marrow
single tumor
multiple tumors
bone marrow has greater than 10 % plasma cells
overproduction of plasma cells
anemia
pallor
kidney abnormalities
bone pain
weakness
fatigue"
340,"hereditary metabolic disorder
mildly coarsened facial features
deafness
hepatosplenomegaly
abnormalities of the skeleton
curvature of the the breast bone
ichthyosis
children develop more slowly
skeletal abnormalities
"
341,"mental retardation
low birth weight
growth delays
dwarfism
prematurely aged facial appearance
abnormalities of the head and facial (craniofacial) areas
pigmented nevi
hearing impairment
lack of subcutaneous fat in the face
short stature
"
342,"cancer
skin infiltrated
plaques
nodules composed of lymphocytes
ulcerated tumors
infiltration of lymph nodes by diseased cells may occur
"
343,"cancer
autoimmune diseases
viral infections
anemia
mild cytopenias a

"
344,"inherited disorder

"
345,"inherited muscle disease
myopathy
recessive disorders
recessive disorder
obesity
congenital hypotonia
in a newborn slow, progressive loss of muscle tone hypotonia general weakness
motor skills slightly delayed
toddlers mild muscle weakness prone to falling stumbling
adults mild muscle weakness
"
346,"genetic disorder

weakness of certain muscles"
347,"genetic disorder
congenital cataracts
poor vision
eye abnormalities
microcornea
nystagmus
"
348,"congenital heart disease
sepsis
gastrointestinal diseases
ileus
spontaneous intestinal perforation
sip
small bowel atresia
meconium ileus
malrotation with volvulus
allergic enterocolitis
allergy
leukocytosis
bandemia
neutropenia
anemia
thrombocytopenia
increased gastric aspirates
bile-tinged gastric aspirates
decreased bowel sounds
abdominal tenderness
temperature instability
poor perfusion
cardiovascular collapse
palpable mass
abdominal distention
feeding intolerance
isolated perforation of the distal small bowel
severe abdominal distention
bowel obstruction
air in the intestinal wall
persistent dilated loops
thickened bowel wall
pneumoperitoneum
portal vein gas
bowel perforation
fluid in the abdominal cavity
abscess
acidosis
"
